m,lambda,model
2.11902504737674,41.1214364172251,DD2
2.13824932012386,37.8621978781455,DD2
2.15650344589526,34.9601428994099,DD2
2.17382534665253,32.3680576458519,DD2
2.19025184908923,30.0459391866747,DD2
2.20582008218299,27.9595755077048,DD2
2.2205651440275,26.0798795389166,DD2
2.2345209753211,24.3819260944955,DD2
2.24772146307805,22.8441625510669,DD2
2.26019870188446,21.4480693275925,DD2
2.27198368872762,20.1776149163502,DD2
2.28310654697824,19.0188563695688,DD2
2.2935962183278,17.9596599650175,DD2
2.30348030303134,16.9894544358819,DD2
2.31278590247368,16.0989288471452,DD2
2.32153844232861,15.2799646301273,DD2
2.32976242188038,14.5254062885235,DD2
2.33748181002643,13.8288976702549,DD2
2.34471897346638,13.1848694773599,DD2
2.35149562060048,12.5883594549921,DD2
2.35783233109547,12.0349756544502,DD2
2.36374918201223,11.5207742687076,DD2
2.36926499490783,11.0422678638807,DD2
2.37439783915074,10.5963321310684,DD2
2.37916515519155,10.180153128599,DD2
2.38358340819695,9.7912220177612,DD2
2.38766842368244,9.42727403079883,DD2
2.39143526120125,9.08627387344312,DD2
2.39489840614594,8.76637510457023,DD2
2.39807160067497,8.46591607523053,DD2
2.40096792190829,8.18339655851364,DD2
2.40360001646233,7.91744021773816,DD2
2.40597981813702,7.66680973459735,DD2
2.40811873103419,7.43037879401258,DD2
2.41002772807886,7.20711169088608,DD2
2.41171721340645,6.9960705972469,DD2
2.41319714080472,6.7963961897088,DD2
2.41447696882424,6.60730856910056,DD2
2.41556582369157,6.42807937255497,DD2
2.41647235186343,6.25804945208426,DD2
2.41720479691215,6.09661651645474,DD2
2.41777108792185,5.9432158102795,DD2
2.41817875685737,5.79733531616211,DD2
2.41843500431554,5.65850211924262,DD2
2.41854671886339,5.5262751257619,DD2
0.82050930824605,9957.87701300821,DDHd
0.861428552672288,7877.49828488697,DDHd
0.901835090128111,6297.51413704482,DDHd
0.941662840296724,5084.02918864439,DDHd
0.980855770362706,4142.16719041178,DDHd
1.0193649091299,3403.90120894861,DDHd
1.05715087964359,2819.82214426344,DDHd
1.09417926536192,2353.69912041589,DDHd
1.13042184567969,1978.65803971808,DDHd
1.16585781071855,1674.55327262764,DDHd
1.20046936220158,1426.17128033978,DDHd
1.23424393094156,1221.9012825418,DDHd
1.26717239584359,1052.81509380512,DDHd
1.29925063624608,911.983765365112,DDHd
1.33047639074609,794.000330065552,DDHd
1.36084992655977,694.61076779464,DDHd
1.39037545063295,610.44048535846,DDHd
1.41905818925174,538.80207707708,DDHd
1.4469054429509,477.538793809816,DDHd
1.4739257623062,424.910657594805,DDHd
1.50013061418481,379.502793914482,DDHd
1.52553119887142,340.163257730979,DDHd
1.55013995660632,305.946759884493,DDHd
1.57397132142302,276.07272963897,DDHd
1.59703928272379,249.896211266884,DDHd
1.61935896077447,226.880056157446,DDHd
1.64094562182976,206.575798347397,DDHd
1.66181578288966,188.606426730921,DDHd
1.68198544485895,172.655065115695,DDHd
1.70147089907746,158.453679610757,DDHd
1.72028920488284,145.774361459638,DDHd
1.73845690688061,134.423388959194,DDHd
1.75599077984472,124.235061910144,DDHd
1.77290719030236,115.067499437783,DDHd
1.78922357072111,106.798063853067,DDHd
1.80495564649694,99.3217242276263,DDHd
1.82012012610435,92.5470479172563,DDHd
1.83473371773024,86.394624230383,DDHd
1.84881138688814,80.795956161641,DDHd
1.86236951107151,75.6906340968799,DDHd
1.87542344324297,71.0260973512424,DDHd
1.88798850077597,66.7561655681622,DDHd
1.90007921327694,62.840399784569,DDHd
1.91171033553039,59.2429983659735,DDHd
1.92289622484831,55.9323693838927,DDHd
1.933650534456,52.8806570340995,DDHd
1.94398717391144,50.0629926030277,DDHd
1.95391923142961,47.4574017602039,DDHd
1.96345956140718,45.0442854872442,DDHd
1.97262099112031,42.8060801039925,DDHd
1.98141530940551,40.7272471387244,DDHd
1.98985464488341,38.7937140660673,DDHd
1.99795062323038,36.9928911383051,DDHd
2.0057140300457,35.3135709138,DDHd
2.01315614904795,33.7454897495279,DDHd
2.0202872248301,32.2795369336819,DDHd
2.02711764006331,30.9073917891966,DDHd
2.03365691039242,29.6216341984063,DDHd
2.0399150016095,28.415397001669,DDHd
2.04590086457073,27.2825814005084,DDHd
2.05162347743907,26.2175868911577,DDHd
2.05709164950491,25.2152954631924,DDHd
2.06231364460135,24.2710898680822,DDHd
2.06729756677537,23.3807378506356,DDHd
2.07205111816788,22.5403963747637,DDHd
2.07658206903008,21.7464940166968,DDHd
2.08089757677574,20.9958203688949,DDHd
2.08500467719474,20.2854118636123,DDHd
2.08891035839816,19.6125157919196,DDHd
2.09262107934586,18.9746516476717,DDHd
2.09614329101419,18.3695021111069,DDHd
2.09948311226386,17.7949519088288,DDHd
2.10264657908017,17.2490296205315,DDHd
2.1056393757844,16.7299405722139,DDHd
2.10846711691385,16.2360059719953,DDHd
2.11113517490281,15.765682196161,DDHd
2.11364880160959,15.3175293902551,DDHd
2.11601298052495,14.8902296206394,DDHd
2.11823263141068,14.4825421559658,DDHd
2.12031245692603,14.0933240507399,DDHd
2.1222570104627,13.7215125092769,DDHd
2.12407065911337,13.366125574752,DDHd
2.12575776353762,13.0262228267776,DDHd
2.12732242001347,12.7009503406426,DDHd
2.12876859620184,12.3895119583377,DDHd
2.13010020514121,12.0911487077621,DDHd
2.13132096231658,11.8051660648647,DDHd
2.13243450496467,11.5309056648049,DDHd
2.13344431651789,11.2677605272977,DDHd
2.13435383954985,11.0151432886886,DDHd
2.13516631641476,10.7725274282914,DDHd
2.13588494565476,10.5394033474765,DDHd
2.1365128083159,10.3152965973316,DDHd
2.13705290052111,10.0997561074802,DDHd
2.13750808863907,9.8923716612521,DDHd
2.1378811772371,9.69274606022106,DDHd
2.1381748837581,9.50050351151639,DDHd
2.13839182463113,9.31529769221348,DDHd
2.13853453824171,9.13680110659358,DDHd
2.13860548759991,8.96469817481898,DDHd
2.13860705314896,8.79869724599911,DDHd
0.801316027038115,18137.9250876272,GM1
0.849392101987709,13585.2044583462,GM1
0.897490122551635,10297.0319927606,GM1
0.945501870851338,7892.10489095955,GM1
0.993322607299963,6112.43516070569,GM1
1.04085242196899,4780.9297868762,GM1
1.08799751720527,3774.39339171845,GM1
1.13466834869033,3006.1026719831,GM1
1.18078169042558,2414.26808206833,GM1
1.22625982735471,1954.39827521681,GM1
1.27103097988733,1594.12460424884,GM1
1.31502947261318,1309.66938200859,GM1
1.35819567099763,1083.40644722165,GM1
1.40047577487399,902.157030395482,GM1
1.44182232732514,755.984344790608,GM1
1.48219337034078,637.339891015318,GM1
1.52155318825446,540.444334238958,GM1
1.55987145961221,460.843090411788,GM1
1.5971234374384,395.078624917696,GM1
1.63328962844791,340.450081928225,GM1
1.66835556953491,294.834574141321,GM1
1.70231135435742,256.553796136413,GM1
1.73515196751361,224.272761383207,GM1
1.76687602347718,196.924599603916,GM1
1.79748651299411,173.651391736974,GM1
1.82698962514119,153.760368499293,GM1
1.85539494657367,136.689059275589,GM1
1.88271483959185,121.978812374493,GM1
1.90896449267757,109.253760946413,GM1
1.93416126525711,98.2046937597852,GM1
1.95832447975279,88.576119911748,GM1
1.98147540822553,80.155979651573,GM1
2.00363662645936,72.7676950248203,GM1
2.02483178917897,66.2636556335038,GM1
2.04508603145787,60.5198403871486,GM1
2.06442482891649,55.4319095361025,GM1
2.0828742773606,50.9116604342365,GM1
